2022-05-18/01:12:29		Created an instance of <class 'trainingModel.trainModel'> class.
2022-05-18/01:12:32		Start of Training
2022-05-18/01:12:32		Start data ingestion.
2022-05-18/01:12:32		Entered the get_data method of the Data_Getter class
2022-05-18/01:12:32		Checking all valid files in Training_FileFromDB/.
2022-05-18/01:12:32		Generating dataframe generator object for files.
2022-05-18/01:12:32		Data Load Successful.Exited the get_data method of the Data_Getter class
2022-05-18/01:12:32		Data ingestion completed.
2022-05-18/01:12:32		Loaded data from train_input_001.
2022-05-18/01:12:32		Initialize Preprocessor class.
2022-05-18/01:12:32		Dropping redundant setting columns.
2022-05-18/01:12:32		Entered the get_redundant_settings method of the Preprocessor class
2022-05-18/01:12:32		Found 1 setting(s).
2022-05-18/01:12:32		Dropping settings columns.
2022-05-18/01:12:32		Entered the remove_columns method of the Preprocessor class
2022-05-18/01:12:32		Column removal Successful. Exiting remove_columns method.
2022-05-18/01:12:32		Dropping sensor columns acc to data visualisation/eda.
2022-05-18/01:12:32		Starting drop_sensor method of <class 'data_preprocessing.preprocessing.Preprocessor'> class.
2022-05-18/01:12:32		Dropping columns with zero standard deviation.
2022-05-18/01:12:32		Entered the drop_columns_with_zero_std_deviation method of the Preprocessor class
2022-05-18/01:12:32		No columns need to be dropped.
2022-05-18/01:12:32		Checking data for null values.
2022-05-18/01:12:32		Entered the is_null_present method of the Preprocessor class
2022-05-18/01:12:32		Exiting the is_null_present method of the Preprocessor class
2022-05-18/01:12:32		No columns with null values found in data.
2022-05-18/01:12:32		Adding remaining useful life column to data.
2022-05-18/01:12:32		Starting add_remaining_useful_life method of <class 'data_preprocessing.preprocessing.Preprocessor'> class.
2022-05-18/01:12:32		Successfully added remaining useful life column to data.
2022-05-18/01:12:32		Initialise data clustering.
2022-05-18/01:12:32		Entered the elbow_plot method of <class 'data_preprocessing.clustering.KMeansClustering'>
2022-05-18/01:12:32		Plotting elbow plot to identify number of clusters.
2022-05-18/01:12:38		Saving elbow plot to preprocessing data directory.
2022-05-18/01:12:39		Saved plot successfully.
2022-05-18/01:12:39		The optimum number of clusters is:3
2022-05-18/01:12:39		Exited the elbow_plot method of <class 'data_preprocessing.clustering.KMeansClustering'>
2022-05-18/01:12:39		Entered the create_clusters method of <class 'data_preprocessing.clustering.KMeansClustering'>
2022-05-18/01:12:39		Creating optimum number of clusters from data.
2022-05-18/01:12:39		Saving the KMeans cluster model.
2022-05-18/01:12:39		Entered the save_model method of <class 'file_operations.file_methods.File_Operation'>
2022-05-18/01:12:39		Removing old model directory and creating fresh directory.
2022-05-18/01:12:39		Trying to save model KMeans
2022-05-18/01:12:39		Model saved successfully!
2022-05-18/01:12:39		Exited the save_model method of <class 'file_operations.file_methods.File_Operation'>
2022-05-18/01:12:39		Save complete. Writing cluster number to data.
2022-05-18/01:12:39		Succesfully created 3 clusters.
2022-05-18/01:12:39		Exited the create_clusters method of <class 'data_preprocessing.clustering.KMeansClustering'>
2022-05-18/01:12:39		Dividing data into seperate clusters for training.
2022-05-18/01:12:39		Scaling cluster data for cluster 1
2022-05-18/01:12:39		Starting scaleData method of <class 'data_preprocessing.preprocessing.Preprocessor'> class.
2022-05-18/01:12:39		Finding all numeric datatype columns.
2022-05-18/01:12:39		Data scaled successfully. Exiting scaleData method of <class 'data_preprocessing.preprocessing.Preprocessor'> class.
2022-05-18/01:12:39		Starting scaleData method of <class 'data_preprocessing.preprocessing.Preprocessor'> class.
2022-05-18/01:12:39		Finding all numeric datatype columns.
2022-05-18/01:12:39		Data scaled successfully. Exiting scaleData method of <class 'data_preprocessing.preprocessing.Preprocessor'> class.
2022-05-18/01:12:39		Initialize model tuning for cluster 1
2022-05-18/01:12:39		Entered the get_best_model method of <class 'best_model_finder.tuner.Model_Finder'>
2022-05-18/01:12:39		Starting training for XGBoost regressor.
2022-05-18/01:12:39		Entered the get_best_params_for_xgboost method of <class 'best_model_finder.tuner.Model_Finder'>
2022-05-18/01:12:39		Getting best parameter for model with Randomized search.
2022-05-18/01:13:00		RandomizedSearchCV search for parameters complete.
2022-05-18/01:13:00		Training XGBoost regressor with best parameters.
2022-05-18/01:13:00		Training complete!
2022-05-18/01:13:00		XGBoost best params: {'n_estimators': 100, 'min_samples_split': 50, 'min_samples_leaf': 50, 'max_depth': 4, 'learning_rate': 0.5}
2022-05-18/01:13:00		Exited the get_best_params_for_xgboost method of <class 'best_model_finder.tuner.Model_Finder'>
2022-05-18/01:13:00		Starting training for Random Forest regressor.
2022-05-18/01:13:00		Entered the get_best_params_for_random_forest method of <class 'best_model_finder.tuner.Model_Finder'>
2022-05-18/01:13:00		Getting best parameter for model with Randomized search.
2022-05-18/01:13:50		Estimated required paramters.
2022-05-18/01:13:50		Training random forest regressor with best parameters.
2022-05-18/01:13:51		Training complete!
2022-05-18/01:13:51		Random Forest best params: {'n_estimators': 50, 'min_samples_split': 60, 'min_samples_leaf': 30, 'max_depth': 10}
2022-05-18/01:13:51		Exited the get_best_params_for_random_forest method of <class 'best_model_finder.tuner.Model_Finder'>
2022-05-18/01:13:51		Evaluating XGBoost prediction and calculating score.
